ensembl,gene,new_clumn
ENSMUSG00000035566,Pcdh17,TT.IG.SH_Ex.C
ENSMUSG00000035653,Lrfn5,TT.IG.SH_Ex.C
ENSMUSG00000037386,Rims2,TT.IG.SH_Ex.C
ENSMUSG00000037492,Zmat4,TT.IG.SH_Ex.C
ENSMUSG00000039419,Cntnap2,TT.IG.SH_Ex.C
ENSMUSG00000040037,Negr1,TT.IG.SH_Ex.C
ENSMUSG00000041852,Tcf20,TT.IG.SH_Ex.C
ENSMUSG00000049252,Lrp1b,TT.IG.SH_Ex.C
ENSMUSG00000049583,Grm5,TT.IG.SH_Ex.C
ENSMUSG00000056755,Grm7,TT.IG.SH_Ex.C
ENSMUSG00000061911,Myt1l,TT.IG.SH_Ex.C
ENSMUSG00000062296,Trank1,TT.IG.SH_Ex.C
ENSMUSG00000064293,Cntn4,TT.IG.SH_Ex.C
ENSMUSG00000097451,Rian,TT.IG.SH_Ex.C
ENSMUSG00000021301,Hecw1,TT.IG.SH_Ex.E
ENSMUSG00000024268,Celf4,TT.IG.SH_Ex.E
ENSMUSG00000024897,Apba1,TT.IG.SH_Ex.E
ENSMUSG00000027419,Pcsk2,TT.IG.SH_Ex.E
ENSMUSG00000029053,Prkcz,TT.IG.SH_Ex.E
ENSMUSG00000030839,Sergef,TT.IG.SH_Ex.E
ENSMUSG00000033676,Gabrb3,TT.IG.SH_Ex.E
ENSMUSG00000034796,Cpne7,TT.IG.SH_Ex.E
ENSMUSG00000034958,Atcay,TT.IG.SH_Ex.E
ENSMUSG00000035566,Pcdh17,TT.IG.SH_Ex.E
ENSMUSG00000037492,Zmat4,TT.IG.SH_Ex.E
ENSMUSG00000039419,Cntnap2,TT.IG.SH_Ex.E
ENSMUSG00000040037,Negr1,TT.IG.SH_Ex.E
ENSMUSG00000046178,Nxph1,TT.IG.SH_Ex.E
ENSMUSG00000049252,Lrp1b,TT.IG.SH_Ex.E
ENSMUSG00000049583,Grm5,TT.IG.SH_Ex.E
ENSMUSG00000050587,Lrrc4c,TT.IG.SH_Ex.E
ENSMUSG00000056755,Grm7,TT.IG.SH_Ex.E
ENSMUSG00000061911,Myt1l,TT.IG.SH_Ex.E
ENSMUSG00000064293,Cntn4,TT.IG.SH_Ex.E
ENSMUSG00000097451,Rian,TT.IG.SH_Ex.E
ENSMUSG00000008658,Rbfox1,TT.IG.SH_Ex.F
ENSMUSG00000009394,Syn2,TT.IG.SH_Ex.F
ENSMUSG00000010086,Rnf112,TT.IG.SH_Ex.F
ENSMUSG00000018474,Chd3,TT.IG.SH_Ex.F
ENSMUSG00000019943,Atp2b1,TT.IG.SH_Ex.F
ENSMUSG00000021301,Hecw1,TT.IG.SH_Ex.F
ENSMUSG00000021373,Cap2,TT.IG.SH_Ex.F
ENSMUSG00000021670,Hmgcr,TT.IG.SH_Ex.F
ENSMUSG00000021700,Rab3c,TT.IG.SH_Ex.F
ENSMUSG00000022212,Cpne6,TT.IG.SH_Ex.F
ENSMUSG00000022285,Ywhaz,TT.IG.SH_Ex.F
ENSMUSG00000024268,Celf4,TT.IG.SH_Ex.F
ENSMUSG00000024897,Apba1,TT.IG.SH_Ex.F
ENSMUSG00000027419,Pcsk2,TT.IG.SH_Ex.F
ENSMUSG00000027546,Atp9a,TT.IG.SH_Ex.F
ENSMUSG00000028176,Lrrc7,TT.IG.SH_Ex.F
ENSMUSG00000028524,Sgip1,TT.IG.SH_Ex.F
ENSMUSG00000029053,Prkcz,TT.IG.SH_Ex.F
ENSMUSG00000030102,Itpr1,TT.IG.SH_Ex.F
ENSMUSG00000030839,Sergef,TT.IG.SH_Ex.F
ENSMUSG00000031099,Smarca1,TT.IG.SH_Ex.F
ENSMUSG00000033676,Gabrb3,TT.IG.SH_Ex.F
ENSMUSG00000034796,Cpne7,TT.IG.SH_Ex.F
ENSMUSG00000034958,Atcay,TT.IG.SH_Ex.F
ENSMUSG00000035653,Lrfn5,TT.IG.SH_Ex.F
ENSMUSG00000037386,Rims2,TT.IG.SH_Ex.F
ENSMUSG00000037492,Zmat4,TT.IG.SH_Ex.F
ENSMUSG00000039419,Cntnap2,TT.IG.SH_Ex.F
ENSMUSG00000040037,Negr1,TT.IG.SH_Ex.F
ENSMUSG00000040785,Ttc3,TT.IG.SH_Ex.F
ENSMUSG00000041852,Tcf20,TT.IG.SH_Ex.F
ENSMUSG00000049583,Grm5,TT.IG.SH_Ex.F
ENSMUSG00000050587,Lrrc4c,TT.IG.SH_Ex.F
ENSMUSG00000056755,Grm7,TT.IG.SH_Ex.F
ENSMUSG00000061911,Myt1l,TT.IG.SH_Ex.F
ENSMUSG00000062296,Trank1,TT.IG.SH_Ex.F
ENSMUSG00000064293,Cntn4,TT.IG.SH_Ex.F
ENSMUSG00000066189,Cacng3,TT.IG.SH_Ex.F
ENSMUSG00000097451,Rian,TT.IG.SH_Ex.F
